wavelength_nm,irradiance
300.0,0.45199999999999996
305.0,0.59865
310.0,0.55945
315.0,0.64795
320.0,0.7578
325.0,0.8182999999999999
330.0,1.0385
335.0,0.9511499999999999
340.0,0.98255
345.0,0.86745
350.0,0.9699
355.0,1.0779999999999998
360.0,0.98095
365.0,1.0825
370.0,1.1825
375.0,0.9812000000000001
380.0,1.134
385.0,0.98385
390.0,1.2105000000000001
395.0,1.17
400.0,1.6724999999999999
405.0,1.6705
410.0,1.6235
415.0,1.7355
420.0,1.729
425.0,1.7309999999999999
430.0,1.3050000000000002
435.0,1.6965
440.0,1.7690000000000001
445.0,1.897
450.0,2.0855
455.0,2.0065
460.0,2.0244999999999997
465.0,2.009
470.0,1.9335
475.0,2.0335
480.0,2.0555000000000003
485.0,1.8995000000000002
490.0,1.9835
495.0,1.992
500.0,1.9134999999999969
505.0,1.9310000000000072
510.0,1.9315000000000018
515.0,1.887
520.0,1.8295
525.0,1.944
530.0,1.935
535.0,1.924
540.0,1.8005
545.0,1.8900000000000001
550.0,1.8785
555.0,1.8975
560.0,1.8255
565.0,1.826
570.0,1.8145
575.0,1.8485
580.0,1.8330000000000002
585.0,1.8215
590.0,1.7125
595.0,1.7774999999999999
600.0,1.76
605.0,1.7694999999999999
610.0,1.7235
615.0,1.713
620.0,1.7205
625.0,1.644
630.0,1.6643333333333334
635.0,1.656
640.0,1.6325
645.0,1.627
650.0,1.582
655.0,1.532
660.0,1.56
665.0,1.56
670.0,1.5310000000000001
675.0,1.51
680.0,1.495
685.0,1.455
690.0,1.4545
695.0,1.436
700.0,1.4055
705.0,1.415
710.0,1.3845
715.0,1.366
720.0,1.3295
725.0,1.35
730.0,1.3225
735.0,1.309
740.0,1.268
745.0,1.279
750.0,1.266
755.0,1.255
760.0,1.2385000000000002
765.0,1.221
770.0,1.2035
775.0,1.188
780.0,1.187
785.0,1.18
790.0,1.166
795.0,1.134
800.0,1.1385
805.0,1.115
810.0,1.1045
815.0,1.107
820.0,1.0715
825.0,1.075
830.0,1.063
835.0,1.0465
840.0,1.04
845.0,1.026
850.0,0.966
855.0,0.92675
860.0,0.9969
865.0,0.94275
870.0,0.9747
875.0,0.9676499999999999
880.0,0.9554
885.0,0.9480999999999999
890.0,0.953
895.0,0.9359500000000001
900.0,0.9158
905.0,0.9230499999999999
910.0,0.8916000000000001
915.0,0.90375
920.0,0.8907999999999999
925.0,0.85985
930.0,0.8677
935.0,0.8593999999999999
940.0,0.8438
945.0,0.8349500000000001
950.0,0.8369
955.0,0.8081
960.0,0.8151
965.0,0.798
970.0,0.7958999999999999
975.0,0.782
980.0,0.7746000000000001
985.0,0.7679499999999999
990.0,0.7541
995.0,0.75405
1000.0,0.7479
1005.0,0.71985
1010.0,0.7313
1015.0,0.7174499999999999
1020.0,0.7041000000000001
1025.0,0.7040500000000001
1030.0,0.6937000000000001
1035.0,0.6828500000000001
1040.0,0.6761
1045.0,0.6657
1050.0,0.6622
1055.0,0.6553
1060.0,0.6415
1065.0,0.6427
1070.0,0.6241
1075.0,0.6278
1080.0,0.6247
1085.0,0.6194
1090.0,0.6199
1095.0,0.5915999999999999
1100.0,0.6042000000000001
1105.0,0.59595
1110.0,0.5906
1115.0,0.58375
1120.0,0.5741
1125.0,0.5711999999999999
1130.0,0.5652999999999999
