wavelength_nm,sr_value,sr_uncertainty
300.0,2.336594840410374e-18,1.1682974202051885e-20
305.0,3.2609807916687743e-18,1.6304903958343894e-20
310.0,4.551065310819993e-18,2.2755326554100013e-20
315.0,6.3515232951586825e-18,3.17576164757935e-20
320.0,8.864264828947221e-18,4.432132414473628e-20
325.0,1.2371078134532302e-17,6.185539067266185e-20
330.0,1.7265230356264164e-17,8.63261517813215e-20
335.0,2.4095570007175857e-17,1.204778500358806e-19
340.0,3.3628076891546184e-17,1.6814038445773346e-19
345.0,4.693176194159237e-17,2.3465880970796677e-19
350.0,6.549855009686892e-17,3.274927504843542e-19
355.0,9.141059034031349e-17,4.570529517015861e-19
360.0,1.275737556633963e-16,6.378687783170181e-19
365.0,1.7804351851873316e-16,8.902175925937369e-19
370.0,2.4847974665078807e-16,1.242398733254079e-18
375.0,3.467814218080842e-16,1.7339071090406909e-18
380.0,4.839724610643836e-16,2.4198623053224436e-18
385.0,6.75437980060944e-16,3.3771899003057436e-18
390.0,9.426496373481055e-16,4.713248186742521e-18
395.0,1.3155735463859148e-15,6.577867731933456e-18
400.0,1.8360307874507434e-15,9.180153937261278e-18
405.0,2.5623873798068568e-15,1.281193689904901e-17
410.0,3.57609966514224e-15,1.7880498325739888e-17
415.0,4.990849126018678e-15,2.495424563014926e-17
420.0,6.965291052001709e-15,3.482645526011736e-17
425.0,9.720846736514485e-15,4.860423368278438e-17
430.0,1.3566534487837117e-14,6.783267243959841e-17
435.0,1.893362409658422e-14,9.466812048372518e-17
440.0,2.642400104110193e-14,1.3212000520707576e-16
445.0,3.687766417344901e-14,1.8438832087029544e-16
450.0,5.1466926328616146e-14,2.5733463164902205e-16
455.0,7.182788186520436e-14,3.591394093375939e-16
460.0,1.0024388439869005e-13,5.0121942201598975e-16
465.0,1.399016106056952e-13,6.995080530723767e-16
470.0,1.9524842605084416e-13,9.762421303397278e-16
475.0,2.72491129375023e-13,1.36245564704166e-15
480.0,3.802920058814483e-13,1.901460029731627e-15
485.0,5.307402485689156e-13,2.6537012434763943e-15
490.0,7.407076853957772e-13,3.703538428209497e-15
495.0,1.033740849094553e-12,5.168704247869667e-15
500.0,1.4427015733143279e-12,7.213507871240166e-15
505.0,2.0134522414066413e-12,1.0067261216126255e-14
510.0,2.809998965420472e-12,1.40499948448132e-14
515.0,3.921669470611937e-12,1.9608347387555693e-14
520.0,5.47313064025138e-12,2.736565326844595e-14
525.0,7.63836912562413e-12,3.819184575898705e-14
530.0,1.0660202859056423e-11,5.3301014550175045e-14
535.0,1.487751156392336e-11,7.438755831608044e-14
540.0,2.07632399927512e-11,1.0381620093073512e-13
545.0,2.8977435718495176e-11,1.4488718047589404e-13
550.0,4.044126933502248e-11,2.022063503435101e-13
555.0,5.6440337968568554e-11,2.822016969879058e-13
560.0,7.876883694179457e-11,3.9384419862565533e-13
565.0,1.0993076753932048e-10,5.496538648025985e-13
570.0,1.5342074506499464e-10,7.671037781202445e-13
575.0,2.141158980550429e-10,1.0705795931063618e-12
580.0,2.9882280768806257e-10,1.4941142387280387e-12
585.0,4.170408232189312e-10,2.0852045062018773e-12
590.0,5.820273544778771e-10,2.9101375322145e-12
595.0,8.122846073092504e-10,4.06142451648349e-12
600.0,1.1336344900046122e-09,5.668175332547193e-12
605.0,1.5821143784664825e-09,7.910577506722774e-12
610.0,2.2080184819824424e-09,1.1040103345251401e-11
615.0,3.0815380233802677e-09,1.5407711416033622e-11
620.0,4.300632744272218e-09,2.1503205206405795e-11
625.0,6.00201647507162e-09,3.001016317719109e-11
630.0,8.376488732018193e-09,4.188260104056955e-11
635.0,1.1690331682561973e-08,5.845196494811964e-11
640.0,1.631517201237007e-08,8.157645711109235e-11
645.0,2.276965651066882e-08,1.1384944544643449e-10
650.0,3.177761502077455e-08,1.5889034011021556e-10
655.0,4.4349233348883276e-08,2.2175057837405965e-10
660.0,6.189433913030225e-08,3.094802883318909e-10
665.0,8.63805048870553e-08,4.3191926068903696e-10
670.0,1.205536984152098e-07,6.028010898409147e-10
675.0,1.682462248090936e-07,8.412946158046249e-10
680.0,2.3480649340141694e-07,1.1741561320211452e-09
685.0,3.2769880433515315e-07,1.6387348881067334e-09
690.0,4.573404152152727e-07,2.2871712194791568e-09
695.0,6.382697560014476e-07,3.1922625456474996e-09
700.0,8.907767930726987e-07,4.455663735263642e-09
705.0,1.2431783638469662e-06,6.219358330742201e-09
710.0,1.7349936197302535e-06,8.681719922328099e-09
715.0,2.4213756313297313e-06,1.2120028862387531e-08
720.0,3.3792960312180954e-06,1.6922094094484743e-08
725.0,4.716176065547204e-06,2.363076909007661e-08
730.0,6.581931587930989e-06,3.300682695447735e-08
735.0,9.18578201645235e-06,4.611816669165346e-08
740.0,1.2819706812772638e-05,6.446714802468564e-08
745.0,1.789117713654709e-05,9.017382703893599e-08
750.0,2.4968827786338918e-05,1.2624244174768078e-07
755.0,3.484618046240971e-05,1.7695427208451318e-07
760.0,4.863054351041614e-05,2.484567038197712e-07
765.0,6.786701679242745e-05,3.4966471403741977e-07
770.0,9.471142841546431e-05,4.936734579536278e-07
775.0,0.00013217144205040945,7.000301377600478e-07
780.0,0.000184442571756563,9.984887337114648e-07
785.0,0.00025737619909811443,1.4353847929297603e-06
790.0,0.0003591309356539808,2.0847340047339085e-06
795.0,0.000501078156920355,3.067988055242132e-06
800.0,0.0006990589446947469,4.589856504147887e-06
805.0,0.0009751250271356787,7.004208201087943e-06
810.0,0.001359942736149126,1.093659258125081e-05
815.0,0.00189609821585996,1.751355871381021e-05
820.0,0.0026426140879377354,2.8793155189073042e-05
825.0,0.003681068008356671,4.857250047581623e-05
830.0,0.005123777639786677,8.389536757137165e-05
835.0,0.00712455014188273,0.00014783931992389505
840.0,0.009892415479150358,0.0002645865168808018
845.0,0.013708434655912722,0.00047842415069534143
850.0,0.018944857616416143,0.0008691320052841438
855.0,0.02608423024766173,0.0015768163812366677
860.0,0.03573304302076524,0.002838435787345144
865.0,0.04861982246388213,0.005033268986987657
870.0,0.06556160711216466,0.008720827372697498
875.0,0.08737800768450335,0.014628601554832974
880.0,0.11473469002932474,0.023516173510791064
885.0,0.14791778175349732,0.03584290694864867
890.0,0.18658399717880056,0.05126382358466761
895.0,0.22958638644572693,0.06819537321941113
900.0,0.275,0.08387499999091683
905.0,0.3204136135542731,0.09517431019839336
910.0,0.3634160028211995,0.09984829427047864
915.0,0.4020822182465027,0.09743112263766009
920.0,0.4352653099706753,0.08921255245368713
925.0,0.4626219923154967,0.07745098538435345
930.0,0.4844383928878353,0.06443868268595183
935.0,0.501380177536118,0.051904370900523036
940.0,0.5142669569792349,0.040850529692942186
945.0,0.5239157697523384,0.03167120364641629
950.0,0.531055142383584,0.02436318235595213
955.0,0.5362915653440873,0.018716567070927635
960.0,0.5401075845208497,0.014445934345405132
965.0,0.5428754498581173,0.011265039295406416
970.0,0.5448762223602134,0.008921657841052191
975.0,0.5463189319916434,0.007208798241127232
980.0,0.5473573859120623,0.00596384702117065
985.0,0.54810390178414,0.005062633245932213
990.0,0.548640057263851,0.004412136349975656
995.0,0.5490248749728643,0.0039435810023065974
1000.0,0.5493009410553052,0.003606580698482016
1005.0,0.5494989218430797,0.003364457431041048
1010.0,0.5496408690643461,0.0031906329875018152
1015.0,0.549742623800902,0.003065909765527013
1020.0,0.5498155574282435,0.002976452965728349
1025.0,0.5498678285579497,0.0029123087847405943
1030.0,0.5499052885715846,0.002866324052945782
1035.0,0.5499321329832075,0.002833362524356948
1040.0,0.5499513694564897,0.0028097383794831567
1045.0,0.5499651538195377,0.0027928077675818857
1050.0,0.5499750311722137,0.0027806748250080006
1055.0,0.5499821088228635,0.002771980355288912
1060.0,0.5499871802931873,0.0027657500660090897
1065.0,0.5499908142179837,0.0027612856481412894
1070.0,0.5499934180684122,0.0027580866397292365
1075.0,0.5499952838239345,0.0027557943919055026
1080.0,0.5499966207039688,0.00275415189472065
1085.0,0.5499975786243687,0.0027529749787356286
1090.0,0.5499982650063804,0.002752131673714135
1095.0,0.5499987568216361,0.002751527415222612
1100.0,0.549999109223207,0.0027510944430196786
1105.0,0.549999361730244,0.0027507842038144432
1110.0,0.5499995426595847,0.0027505619071641328
1115.0,0.5499996723011957,0.0027504026243730774
1120.0,0.5499997651935067,0.0027502884931214877
1125.0,0.5499998317537752,0.0027502067144325984
1130.0,0.5499998794463017,0.0027501481174032707
1135.0,0.5499999136194951,0.0027501061307776834
1140.0,0.549999938105661,0.002750076046036093
1145.0,0.5499999556507668,0.0027500544893709466
1150.0,0.549999968222385,0.0027500390433430138
1155.0,0.5499999772303434,0.002750027975779546
1160.0,0.549999983684828,0.0027500200455227272
1165.0,0.5499999883096683,0.002750014363244926
1170.0,0.5499999916235113,0.0027500102917150243
1175.0,0.5499999939979836,0.0027500073743360787
1180.0,0.5499999956993673,0.002750005283942681
1185.0,0.549999996918462,0.0027500037861103227
1190.0,0.5499999977919815,0.0027500027128665866
1195.0,0.5499999984178856,0.0027500019438539973
1200.0,0.5499999988663655,0.002750001392832385
1205.0,0.5499999991877155,0.0027500009980080168
1210.0,0.5499999994179727,0.0027500007151037994
1215.0,0.5499999995829592,0.00275000051239418
1220.0,0.5499999997011772,0.002750000367146539
1225.0,0.5499999997858841,0.0027500002630719543
1230.0,0.5499999998465792,0.002750000188499498
1235.0,0.5499999998900693,0.0027500001350657605
1240.0,0.5499999999212312,0.0027500000967787984
1245.0,0.5499999999435597,0.0027500000693450257
1250.0,0.5499999999595587,0.0027500000496877195
1255.0,0.5499999999710226,0.002750000035602941
1260.0,0.5499999999792368,0.0027500000255108485
1265.0,0.5499999999851226,0.002750000018279139
1270.0,0.5499999999893398,0.002750000013097303
1275.0,0.5499999999923616,0.0027500000093848313
1280.0,0.5499999999945269,0.0027500000067247152
1285.0,0.5499999999960784,0.0027500000048184623
1290.0,0.5499999999971901,0.0027500000034523463
1295.0,0.5499999999979865,0.0027500000024737094
1300.0,0.5499999999985573,0.002750000001772272
1305.0,0.5499999999989661,0.0027500000012698964
1310.0,0.5499999999992592,0.00275000000091014
1315.0,0.5499999999994691,0.002750000000652022
1320.0,0.5499999999996196,0.0027500000004670204
1325.0,0.5499999999997273,0.0027500000003342438
1330.0,0.5499999999998043,0.0027500000002388275
1335.0,0.5499999999998593,0.002750000000170932
1340.0,0.5499999999998988,0.0027500000001223213
1345.0,0.5499999999999269,0.002750000000086965
1350.0,0.5499999999999469,0.002750000000061047
1355.0,0.5499999999999606,0.002750000000041956
1360.0,0.5499999999999701,0.002750000000027885
1365.0,0.5499999999999761,0.0027500000000170235
1370.0,0.5499999999999795,0.002750000000007965
1375.0,0.5499999999999805,0.0027499999999999027
1380.0,0.5499999999999795,0.002750000000007763
1385.0,0.5499999999999762,0.002750000000017024
1390.0,0.5499999999999701,0.0027500000000280863
1395.0,0.5499999999999606,0.0027500000000421575
1400.0,0.5499999999999468,0.0027500000000610465
1405.0,0.5499999999999269,0.0027500000000867633
1410.0,0.5499999999998988,0.0027500000001223213
1415.0,0.5499999999998593,0.002750000000170932
1420.0,0.5499999999998043,0.0027500000002388275
1425.0,0.5499999999997273,0.0027500000003342438
1430.0,0.5499999999996196,0.0027500000004670204
1435.0,0.5499999999994691,0.00275000000065182
1440.0,0.5499999999992593,0.0027500000009099395
1445.0,0.5499999999989662,0.0027500000012700985
1450.0,0.5499999999985573,0.0027500000017724735
1455.0,0.5499999999979865,0.0027500000024737094
1460.0,0.5499999999971901,0.0027500000034523463
1465.0,0.5499999999960784,0.0027500000048184623
1470.0,0.5499999999945269,0.0027500000067247152
1475.0,0.5499999999923616,0.0027500000093848313
1480.0,0.5499999999893398,0.002750000013097303
1485.0,0.5499999999851226,0.002750000018279139
1490.0,0.5499999999792368,0.0027500000255108485
1495.0,0.5499999999710226,0.002750000035602941
1500.0,0.5499999999595587,0.0027500000496877195
1505.0,0.5499999999435597,0.0027500000693450257
1510.0,0.5499999999212312,0.0027500000967787984
1515.0,0.5499999998900693,0.0027500001350657605
1520.0,0.5499999998465792,0.002750000188499498
1525.0,0.5499999997858841,0.0027500002630719543
1530.0,0.5499999997011772,0.002750000367146539
1535.0,0.5499999995829592,0.00275000051239418
1540.0,0.5499999994179727,0.0027500007151037994
1545.0,0.5499999991877155,0.0027500009980080168
1550.0,0.5499999988663655,0.002750001392832385
1555.0,0.5499999984178856,0.0027500019438539973
1560.0,0.5499999977919815,0.0027500027128665866
1565.0,0.549999996918462,0.0027500037861103227
1570.0,0.5499999956993673,0.002750005283942681
1575.0,0.5499999939979836,0.0027500073743360787
1580.0,0.5499999916235113,0.0027500102917150243
1585.0,0.5499999883096683,0.002750014363244926
1590.0,0.549999983684828,0.0027500200455227272
1595.0,0.5499999772303434,0.002750027975779546
1600.0,0.549999968222385,0.0027500390433430138
1605.0,0.5499999556507668,0.0027500544893709466
1610.0,0.549999938105661,0.002750076046036093
1615.0,0.5499999136194951,0.0027501061307776834
1620.0,0.5499998794463017,0.0027501481174032707
1625.0,0.5499998317537752,0.0027502067144325984
1630.0,0.5499997651935067,0.0027502884931214877
1635.0,0.5499996723011957,0.0027504026243730774
1640.0,0.5499995426595847,0.0027505619071641328
1645.0,0.549999361730244,0.0027507842038144432
1650.0,0.549999109223207,0.0027510944430196786
1655.0,0.5499987568216361,0.002751527415222612
1660.0,0.5499982650063804,0.002752131673714135
1665.0,0.5499975786243687,0.0027529749787356286
1670.0,0.5499966207039688,0.00275415189472065
1675.0,0.5499952838239345,0.0027557943919055026
1680.0,0.5499934180684122,0.0027580866397292365
1685.0,0.5499908142179837,0.0027612856481412894
1690.0,0.5499871802931873,0.0027657500660090897
1695.0,0.5499821088228635,0.002771980355288912
1700.0,0.5499750311722137,0.0027806748250080006
1705.0,0.5499651538195377,0.0027928077675818857
1710.0,0.5499513694564897,0.0028097383794831567
1715.0,0.5499321329832075,0.002833362524356948
1720.0,0.5499052885715846,0.002866324052945782
1725.0,0.5498678285579497,0.0029123087847405943
1730.0,0.5498155574282435,0.002976452965728349
1735.0,0.549742623800902,0.003065909765527013
1740.0,0.5496408690643461,0.0031906329875018152
1745.0,0.5494989218430797,0.003364457431041048
1750.0,0.5493009410553052,0.003606580698482016
1755.0,0.5490248749728643,0.0039435810023065974
1760.0,0.548640057263851,0.004412136349975656
1765.0,0.54810390178414,0.005062633245932213
1770.0,0.5473573859120623,0.00596384702117065
1775.0,0.5463189319916434,0.007208798241127232
1780.0,0.5448762223602134,0.008921657841052191
1785.0,0.5428754498581173,0.011265039295406416
1790.0,0.5401075845208497,0.014445934345405132
1795.0,0.5362915653440873,0.018716567070927635
1800.0,0.531055142383584,0.02436318235595213
1805.0,0.5239157697523384,0.03167120364641629
1810.0,0.5142669569792349,0.040850529692942186
1815.0,0.501380177536118,0.051904370900523036
1820.0,0.4844383928878353,0.06443868268595183
1825.0,0.4626219923154967,0.07745098538435345
1830.0,0.4352653099706753,0.08921255245368713
1835.0,0.4020822182465027,0.09743112263766009
1840.0,0.3634160028211995,0.09984829427047864
1845.0,0.3204136135542731,0.09517431019839336
1850.0,0.275,0.08387499999091683
1855.0,0.22958638644572693,0.06819537321941113
1860.0,0.18658399717880056,0.05126382358466761
1865.0,0.14791778175349732,0.03584290694864867
1870.0,0.11473469002932474,0.023516173510791064
1875.0,0.08737800768450335,0.014628601554832974
1880.0,0.06556160711216466,0.008720827372697498
1885.0,0.04861982246388213,0.005033268986987657
1890.0,0.03573304302076524,0.002838435787345144
1895.0,0.02608423024766173,0.0015768163812366677
1900.0,0.018944857616416143,0.0009882078981869283
